,player,timestamp,play,pos,prflop,flop,turn,river,bankroll,action,winnings,c1,c2
0,AJ-sOOted,986101314.0,10.0,8.0,c,k,f,-,1713.0,10.0,0.0,XX,XX
0,Bowler,986101314.0,10.0,9.0,c,k,f,-,180.0,10.0,0.0,XX,XX
0,JohnSpot,986101314.0,10.0,5.0,f,-,-,-,1175.0,0.0,0.0,XX,XX
0,Murph,986101314.0,10.0,1.0,Bc,k,b,kc,3657.0,50.0,0.0,Qs,Ts
0,RIG,986101314.0,10.0,6.0,c,k,f,-,775.0,10.0,0.0,XX,XX
0,RobVegas,986101314.0,10.0,2.0,Bk,k,c,b,2723.0,50.0,140.0,8s,6s
0,SixPack,986101314.0,10.0,7.0,f,-,-,-,1022.0,0.0,0.0,XX,XX
0,bobbi,986101314.0,10.0,4.0,Q,-,-,-,479.0,0.0,0.0,XX,XX
0,flubnurd2,986101314.0,10.0,3.0,f,-,-,-,10832.0,0.0,0.0,XX,XX
0,pokibot,986101314.0,10.0,10.0,c,k,Q,-,16124.0,10.0,0.0,XX,XX
2,AJ-sOOted,986101503.0,10.0,5.0,c,r,r,c,1663.0,100.0,0.0,Jc,9d
2,Bowler,986101503.0,10.0,6.0,c,c,c,cA,90.0,90.0,210.0,Ah,8c
2,JohnSpot,986101503.0,10.0,2.0,Bf,-,-,-,1175.0,10.0,0.0,XX,XX
2,Murph,986101503.0,10.0,9.0,f,-,-,-,3607.0,0.0,0.0,XX,XX
2,RIG,986101503.0,10.0,3.0,f,-,-,-,995.0,0.0,0.0,XX,XX
2,RobVegas,986101503.0,10.0,10.0,c,c,f,-,2783.0,40.0,0.0,XX,XX
2,SixPack,986101503.0,10.0,4.0,r,bc,cf,-,1022.0,60.0,0.0,XX,XX
0,Tampa,986101503.0,10.0,7.0,c,f,-,-,605.0,20.0,0.0,XX,XX
0,dookey,986101503.0,10.0,8.0,c,f,Q,-,23246.0,20.0,0.0,XX,XX
2,flubnurd2,986101503.0,10.0,1.0,Bc,kc,bc,b,10752.0,100.0,230.0,8h,6h
16,AJ-sOOted,986102560.0,10.0,8.0,f,-,-,-,1713.0,0.0,0.0,XX,XX
16,JohnSpot,986102560.0,10.0,5.0,f,-,-,-,1115.0,0.0,0.0,XX,XX
0,Quixote,986102560.0,10.0,9.0,c,f,-,-,2658.0,10.0,0.0,XX,XX
16,RIG,986102560.0,10.0,6.0,c,kc,kf,-,1150.0,20.0,0.0,XX,XX
0,RiverBoy,986102560.0,10.0,7.0,c,b,b,b,2222.0,60.0,155.0,Jd,Ac
16,RobVegas,986102560.0,10.0,3.0,f,-,-,-,2633.0,0.0,0.0,XX,XX
14,Tampa,986102560.0,10.0,10.0,f,-,-,-,560.0,0.0,0.0,XX,XX
4,amajama,986102560.0,10.0,2.0,Bk,kc,kc,kc,970.0,60.0,0.0,Ad,8s
16,flubnurd2,986102560.0,10.0,4.0,f,-,-,-,11012.0,0.0,0.0,XX,XX
7,pokibot,986102560.0,10.0,1.0,Bf,-,-,-,16094.0,5.0,0.0,XX,XX
17,AJ-sOOted,986102645.0,10.0,7.0,c,k,k,k,1713.0,10.0,0.0,8d,Tc
17,JohnSpot,986102645.0,10.0,4.0,f,-,-,-,1115.0,0.0,0.0,XX,XX
1,Quixote,986102645.0,10.0,8.0,c,k,k,k,2648.0,10.0,0.0,Kh,7h
17,RIG,986102645.0,10.0,5.0,f,-,-,-,1130.0,0.0,0.0,XX,XX
1,RiverBoy,986102645.0,10.0,6.0,f,-,-,-,2317.0,0.0,0.0,XX,XX
17,RobVegas,986102645.0,10.0,2.0,Bk,k,k,k,2633.0,10.0,0.0,2s,3h
15,Tampa,986102645.0,10.0,9.0,c,k,k,k,560.0,10.0,0.0,As,9d
5,amajama,986102645.0,10.0,1.0,Bc,k,k,k,910.0,10.0,60.0,5c,6h
17,flubnurd2,986102645.0,10.0,3.0,f,-,-,-,11012.0,0.0,0.0,XX,XX
8,pokibot,986102645.0,10.0,10.0,c,k,k,k,16089.0,10.0,0.0,3c,3d
18,AJ-sOOted,986102772.0,10.0,6.0,r,b,br,k,1703.0,90.0,110.0,Qh,Qc
18,JohnSpot,986102772.0,10.0,3.0,f,-,-,-,1115.0,0.0,0.0,XX,XX
2,Quixote,986102772.0,10.0,7.0,f,-,-,-,2638.0,0.0,0.0,XX,XX
18,RIG,986102772.0,10.0,4.0,f,-,-,-,1130.0,0.0,0.0,XX,XX
2,RiverBoy,986102772.0,10.0,5.0,f,-,-,-,2317.0,0.0,0.0,XX,XX
18,RobVegas,986102772.0,10.0,1.0,Bc,kc,kf,-,2623.0,30.0,0.0,XX,XX
16,Tampa,986102772.0,10.0,8.0,f,-,-,-,550.0,0.0,0.0,XX,XX
6,amajama,986102772.0,10.0,10.0,c,c,rc,k,960.0,90.0,110.0,Qd,8d
18,flubnurd2,986102772.0,10.0,2.0,Bf,-,-,-,11012.0,10.0,0.0,XX,XX
9,pokibot,986102772.0,10.0,9.0,f,-,-,-,16079.0,0.0,0.0,XX,XX
19,AJ-sOOted,986102830.0,10.0,5.0,c,f,-,-,1723.0,10.0,0.0,XX,XX
19,JohnSpot,986102830.0,10.0,2.0,Bk,kf,-,-,1115.0,10.0,0.0,XX,XX
3,Quixote,986102830.0,10.0,6.0,f,-,-,-,2638.0,0.0,0.0,XX,XX
19,RIG,986102830.0,10.0,3.0,f,-,-,-,1130.0,0.0,0.0,XX,XX
3,RiverBoy,986102830.0,10.0,4.0,c,b,b,b,2317.0,60.0,145.0,Kd,Td
19,RobVegas,986102830.0,10.0,10.0,f,-,-,-,2593.0,0.0,0.0,XX,XX
17,Tampa,986102830.0,10.0,7.0,f,-,-,-,550.0,0.0,0.0,XX,XX
7,amajama,986102830.0,10.0,9.0,c,c,c,c,980.0,60.0,0.0,3h,Jc
19,flubnurd2,986102830.0,10.0,1.0,Bf,-,-,-,11002.0,5.0,0.0,XX,XX
10,pokibot,986102830.0,10.0,8.0,f,-,-,-,16079.0,0.0,0.0,XX,XX
20,AJ-sOOted,986102867.0,10.0,4.0,f,-,-,-,1713.0,0.0,0.0,XX,XX
20,JohnSpot,986102867.0,10.0,1.0,Bc,k,kcc,k,1105.0,70.0,145.0,Jh,9h
4,Quixote,986102867.0,10.0,5.0,f,-,-,Q,2638.0,0.0,0.0,XX,XX
20,RIG,986102867.0,10.0,2.0,Bk,k,br,k,1130.0,70.0,0.0,7d,7c
4,RiverBoy,986102867.0,10.0,3.0,c,k,f,-,2402.0,10.0,0.0,XX,XX
20,RobVegas,986102867.0,10.0,9.0,f,-,-,-,2593.0,0.0,0.0,XX,XX
18,Tampa,986102867.0,10.0,6.0,c,k,cc,k,550.0,70.0,0.0,6d,Kh
8,amajama,986102867.0,10.0,8.0,c,k,rc,k,920.0,70.0,145.0,Jc,9s
20,flubnurd2,986102867.0,10.0,10.0,f,-,-,-,10997.0,0.0,0.0,XX,XX
11,pokibot,986102867.0,10.0,7.0,f,-,-,-,16079.0,0.0,0.0,XX,XX
21,AJ-sOOted,986102986.0,10.0,3.0,r,b,b,c,1713.0,70.0,0.0,9h,9c
0,CrazyJim,986102986.0,10.0,4.0,f,-,-,-,1915.0,0.0,0.0,XX,XX
21,JohnSpot,986102986.0,10.0,10.0,f,-,-,-,1180.0,0.0,0.0,XX,XX
21,RIG,986102986.0,10.0,1.0,Bc,kc,kc,b,1060.0,70.0,200.0,Ah,Jc
5,RiverBoy,986102986.0,10.0,2.0,Bf,-,-,-,2392.0,10.0,0.0,XX,XX
21,RobVegas,986102986.0,10.0,8.0,f,-,-,-,2593.0,0.0,0.0,XX,XX
19,Tampa,986102986.0,10.0,5.0,fQ,-,-,-,480.0,0.0,0.0,XX,XX
9,amajama,986102986.0,10.0,7.0,c,c,c,f,995.0,50.0,0.0,XX,XX
21,flubnurd2,986102986.0,10.0,9.0,f,-,-,-,10997.0,0.0,0.0,XX,XX
12,pokibot,986102986.0,10.0,6.0,f,-,-,-,16079.0,0.0,0.0,XX,XX
22,AJ-sOOted,986103093.0,10.0,2.0,Bk,f,-,-,1643.0,10.0,0.0,XX,XX
1,CrazyJim,986103093.0,10.0,3.0,f,-,-,-,1915.0,0.0,0.0,XX,XX
22,JohnSpot,986103093.0,10.0,9.0,f,-,-,-,1180.0,0.0,0.0,XX,XX
0,POTUS,986103093.0,10.0,4.0,f,-,-,-,957.0,0.0,0.0,XX,XX
22,RIG,986103093.0,10.0,10.0,c,c,c,f,1190.0,40.0,0.0,XX,XX
6,RiverBoy,986103093.0,10.0,1.0,Bc,b,b,b,2382.0,60.0,110.0,XX,XX
22,RobVegas,986103093.0,10.0,7.0,KQ,-,-,-,2593.0,0.0,0.0,XX,XX
10,amajama,986103093.0,10.0,6.0,f,-,-,-,945.0,0.0,0.0,XX,XX
22,flubnurd2,986103093.0,10.0,8.0,f,-,-,-,10997.0,0.0,0.0,XX,XX
13,pokibot,986103093.0,10.0,5.0,f,-,-,-,16079.0,0.0,0.0,XX,XX
23,AJ-sOOted,986103153.0,10.0,1.0,Bf,-,-,-,1633.0,5.0,0.0,XX,XX
2,CrazyJim,986103153.0,10.0,2.0,Bk,k,kf,-,1915.0,10.0,0.0,XX,XX
23,JohnSpot,986103153.0,10.0,8.0,f,-,-,-,1180.0,0.0,0.0,XX,XX
1,POTUS,986103153.0,10.0,3.0,f,-,-,-,957.0,0.0,0.0,XX,XX
23,RIG,986103153.0,10.0,9.0,f,-,-,-,1150.0,0.0,0.0,XX,XX
