,player,timestamp,play,pos,prflop,flop,turn,river,bankroll,action,winnings,c1,c2
60,AJ-sOOted,986105516.0,7.0,1.0,Bf,-,-,-,623.0,5.0,0.0,XX,XX
13,Regstar,986105516.0,7.0,3.0,f,-,-,-,2857.0,0.0,0.0,XX,XX
44,RiverBoy,986105516.0,7.0,7.0,f,-,-,-,3432.0,0.0,0.0,XX,XX
50,RobVegas,986105516.0,7.0,2.0,Bk,k,kc,kf,2716.0,30.0,0.0,XX,XX
18,SexyBoy,986105516.0,7.0,5.0,c,k,b,b,1708.0,50.0,85.0,XX,XX
60,flubnurd2,986105516.0,7.0,4.0,f,-,-,-,11332.0,0.0,0.0,XX,XX
42,pokibot,986105516.0,7.0,6.0,f,-,-,-,15779.0,0.0,0.0,XX,XX
61,AJ-sOOted,986105547.0,7.0,7.0,f,-,-,-,618.0,0.0,0.0,XX,XX
14,Regstar,986105547.0,7.0,2.0,Bc,kc,kr,b,2857.0,90.0,200.0,6s,3c
45,RiverBoy,986105547.0,7.0,6.0,f,-,-,-,3432.0,0.0,0.0,XX,XX
51,RobVegas,986105547.0,7.0,1.0,Bc,kf,-,-,2686.0,20.0,0.0,XX,XX
19,SexyBoy,986105547.0,7.0,4.0,r,b,bc,c,1743.0,90.0,0.0,Qc,Qs
61,flubnurd2,986105547.0,7.0,3.0,f,-,-,-,11332.0,0.0,0.0,XX,XX
43,pokibot,986105547.0,7.0,5.0,f,-,-,-,15779.0,0.0,0.0,XX,XX
62,AJ-sOOted,986105610.0,7.0,6.0,f,-,-,-,618.0,0.0,0.0,XX,XX
15,Regstar,986105610.0,7.0,1.0,Bc,k,b,-,2962.0,30.0,40.0,XX,XX
46,RiverBoy,986105610.0,7.0,5.0,f,-,-,-,3432.0,0.0,0.0,XX,XX
52,RobVegas,986105610.0,7.0,7.0,f,-,-,-,2666.0,0.0,0.0,XX,XX
20,SexyBoy,986105610.0,7.0,3.0,f,-,-,-,1633.0,0.0,0.0,XX,XX
62,flubnurd2,986105610.0,7.0,2.0,Bk,k,f,-,11332.0,10.0,0.0,XX,XX
44,pokibot,986105610.0,7.0,4.0,f,-,-,-,15779.0,0.0,0.0,XX,XX
63,AJ-sOOted,986105660.0,7.0,5.0,c,k,f,-,618.0,10.0,0.0,XX,XX
16,Regstar,986105660.0,7.0,7.0,f,-,-,-,2972.0,0.0,0.0,XX,XX
47,RiverBoy,986105660.0,7.0,4.0,f,-,-,-,3432.0,0.0,0.0,XX,XX
53,RobVegas,986105660.0,7.0,6.0,c,k,f,-,2666.0,10.0,0.0,XX,XX
21,SexyBoy,986105660.0,7.0,2.0,Bk,k,b,-,1633.0,30.0,55.0,XX,XX
63,flubnurd2,986105660.0,7.0,1.0,Bf,-,-,-,11322.0,5.0,0.0,XX,XX
45,pokibot,986105660.0,7.0,3.0,f,-,-,-,15779.0,0.0,0.0,XX,XX
64,AJ-sOOted,986105704.0,7.0,4.0,r,b,bc,f,608.0,70.0,0.0,XX,XX
17,Regstar,986105704.0,7.0,6.0,f,-,-,-,2972.0,0.0,0.0,XX,XX
48,RiverBoy,986105704.0,7.0,3.0,f,-,-,-,3432.0,0.0,0.0,XX,XX
54,RobVegas,986105704.0,7.0,5.0,f,-,-,-,2656.0,0.0,0.0,XX,XX
22,SexyBoy,986105704.0,7.0,1.0,Bc,kc,kr,b,1658.0,90.0,170.0,XX,XX
64,flubnurd2,986105704.0,7.0,7.0,f,-,-,-,11317.0,0.0,0.0,XX,XX
46,pokibot,986105704.0,7.0,2.0,Bf,-,-,-,15779.0,10.0,0.0,XX,XX
70,AJ-sOOted,986106109.0,7.0,5.0,r,br,r,c,533.0,120.0,0.0,8d,Js
54,RiverBoy,986106109.0,7.0,4.0,f,-,-,-,3342.0,0.0,0.0,XX,XX
60,RobVegas,986106109.0,7.0,7.0,f,-,-,-,2666.0,0.0,0.0,XX,XX
