,player,timestamp,play,pos,prflop,flop,turn,river,bankroll,action,winnings,c1,c2
3,AJ-sOOted,986101572.0,9.0,4.0,c,r,c,k,1563.0,60.0,0.0,Jd,7d
3,Bowler,986101572.0,9.0,5.0,c,c,c,k,210.0,60.0,235.0,4h,4c
3,JohnSpot,986101572.0,9.0,1.0,Bf,-,-,-,1165.0,5.0,0.0,XX,XX
3,Murph,986101572.0,9.0,7.0,f,-,-,-,3607.0,0.0,0.0,XX,XX
3,RIG,986101572.0,9.0,2.0,Bf,-,-,-,995.0,10.0,0.0,XX,XX
3,RobVegas,986101572.0,9.0,8.0,f,-,-,-,2743.0,0.0,0.0,XX,XX
3,SixPack,986101572.0,9.0,3.0,r,bc,b,k,962.0,60.0,0.0,Kd,9d
1,Tampa,986101572.0,9.0,6.0,c,f,-,-,585,20,0,XX,XX
3,flubnurd2,986101572.0,9.0,9.0,c,f,-,-,10882,20,0,XX,XX
4,AJ-sOOted,986101614.0,9.0,3.0,r,bc,bc,kf,1503.0,80.0,0.0,XX,XX
4,Bowler,986101614.0,9.0,4.0,c,cc,cc,kf,385.0,80.0,0.0,XX,XX
4,JohnSpot,986101614.0,9.0,9.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
4,Murph,986101614.0,9.0,6.0,c,cf,-,-,3607.0,30.0,0.0,XX,XX
4,RIG,986101614.0,9.0,1.0,Bf,-,-,-,985.0,5.0,0.0,XX,XX
4,RobVegas,986101614.0,9.0,7.0,c,f,-,-,2743.0,20.0,0.0,XX,XX
4,SixPack,986101614.0,9.0,2.0,Bc,kc,kf,-,902.0,40.0,0.0,XX,XX
2,Tampa,986101614.0,9.0,5.0,f,-,-,-,565,0,0,XX,XX
4,flubnurd2,986101614.0,9.0,8.0,c,r,r,b,10862,100,355,XX,XX
5,AJ-sOOted,986101683.0,9.0,2.0,Bf,-,-,-,1423.0,10.0,0.0,XX,XX
5,Bowler,986101683.0,9.0,3.0,f,-,-,-,305.0,0.0,0.0,XX,XX
5,JohnSpot,986101683.0,9.0,8.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
5,Murph,986101683.0,9.0,5.0,cc,c,c,rr,3577.0,130.0,0.0,Ah,Kd
5,RIG,986101683.0,9.0,9.0,f,-,-,-,980.0,0.0,0.0,XX,XX
5,RobVegas,986101683.0,9.0,6.0,f,-,-,-,2723.0,0.0,0.0,XX,XX
5,SixPack,986101683.0,9.0,1.0,Br,b,b,brc,862.0,130.0,270.0,Td,Kc
3,Tampa,986101683.0,9.0,4.0,f,-,-,-,565,0,0,XX,XX
5,flubnurd2,986101683.0,9.0,7.0,f,-,-,-,11117,0,0,XX,XX
6,AJ-sOOted,986101714.0,9.0,1.0,Bc,b,kf,-,1413.0,20.0,0.0,XX,XX
6,Bowler,986101714.0,9.0,2.0,Bk,c,kc,k,305.0,40.0,160.0,Tc,Qc
6,JohnSpot,986101714.0,9.0,7.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
6,Murph,986101714.0,9.0,3.0,Q,-,-,-,3447.0,0.0,0.0,XX,XX
6,RIG,986101714.0,9.0,8.0,c,c,kf,-,980.0,20.0,0.0,XX,XX
6,RobVegas,986101714.0,9.0,5.0,f,-,-,-,2723.0,0.0,0.0,XX,XX
6,SixPack,986101714.0,9.0,9.0,c,c,b,k,1002.0,40.0,0.0,Js,Td
4,Tampa,986101714.0,9.0,4.0,c,c,kc,k,565,40,0,5s,Ah
6,flubnurd2,986101714.0,9.0,6.0,f,-,-,-,11117,0,0,XX,XX
10,AJ-sOOted,986102081.0,9.0,5.0,c,b,b,k,1533.0,40.0,115.0,Qd,Th
10,Bowler,986102081.0,9.0,6.0,c,c,c,k,105.0,40.0,0.0,3c,7d
10,JohnSpot,986102081.0,9.0,2.0,Bk,kf,-,-,1160.0,10.0,0.0,XX,XX
10,RIG,986102081.0,9.0,3.0,f,-,-,-,1100.0,0.0,0.0,XX,XX
10,RobVegas,986102081.0,9.0,9.0,c,f,-,-,2683.0,10.0,0.0,XX,XX
10,SixPack,986102081.0,9.0,4.0,f,-,-,-,1132.0,0.0,0.0,XX,XX
8,Tampa,986102081.0,9.0,7.0,f,-,-,-,495,0,0,XX,XX
10,flubnurd2,986102081.0,9.0,1.0,Bf,-,-,-,11057,5,0,XX,XX
1,pokibot,986102081.0,9.0,8.0,c,f,-,-,16114,10,0,XX,XX
11,AJ-sOOted,986102152.0,9.0,4.0,f,-,-,-,1608.0,0.0,0.0,XX,XX
11,Bowler,986102152.0,9.0,5.0,c,k,c,c,65.0,50.0,0.0,8h,5s
11,JohnSpot,986102152.0,9.0,1.0,Bf,-,-,-,1150.0,5.0,0.0,XX,XX
11,RIG,986102152.0,9.0,2.0,Bk,k,b,b,1100.0,50.0,125.0,Jd,2s
11,RobVegas,986102152.0,9.0,8.0,c,k,f,-,2673.0,10.0,0.0,XX,XX
11,SixPack,986102152.0,9.0,3.0,f,-,Q,-,1132.0,0.0,0.0,XX,XX
9,Tampa,986102152.0,9.0,6.0,f,-,-,-,495,0,0,XX,XX
11,flubnurd2,986102152.0,9.0,9.0,c,k,f,-,11052,10,0,XX,XX
2,pokibot,986102152.0,9.0,7.0,f,-,-,-,16104,0,0,XX,XX
12,AJ-sOOted,986102220.0,9.0,2.0,Bk,k,kf,-,1608.0,10.0,0.0,XX,XX
12,Bowler,986102220.0,9.0,3.0,c,k,bA,-,15.0,15.0,85.0,Tc,Td
12,JohnSpot,986102220.0,9.0,9.0,c,k,c,k,1145.0,15.0,0.0,3c,3s
12,RIG,986102220.0,9.0,1.0,Bc,k,kc,k,1175.0,15.0,0.0,Js,Qs
12,RobVegas,986102220.0,9.0,7.0,f,-,-,-,2663.0,0.0,0.0,XX,XX
10,Tampa,986102220.0,9.0,4.0,c,k,c,k,495,15,0,8s,Th
0,amajama,986102220.0,9.0,6.0,c,k,c,k,1000,15,0,3h,5c
12,flubnurd2,986102220.0,9.0,8.0,f,-,-,-,11042,0,0,XX,XX
3,pokibot,986102220.0,9.0,5.0,f,-,-,-,16104,0,0,XX,XX
13,AJ-sOOted,986102332.0,9.0,1.0,Bc,kf,-,-,1598.0,20.0,0.0,XX,XX
13,Bowler,986102332.0,9.0,2.0,Bc,kc,kc,kc,85.0,70.0,0.0,7d,6h
13,JohnSpot,986102332.0,9.0,8.0,r,b,c,c,1130.0,70.0,155.0,Ah,Qc
13,RIG,986102332.0,9.0,9.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
13,RobVegas,986102332.0,9.0,6.0,cc,kc,f,-,2663.0,30.0,0.0,XX,XX
11,Tampa,986102332.0,9.0,3.0,cc,kf,-,-,480,20,0,XX,XX
1,amajama,986102332.0,9.0,5.0,cc,kc,b,b,985,70,155,Qd,Ac
13,flubnurd2,986102332.0,9.0,7.0,cc,kc,f,-,11042,30,0,XX,XX
4,pokibot,986102332.0,9.0,4.0,f,-,-,-,16104,0,0,XX,XX
14,AJ-sOOted,986102443.0,9.0,9.0,rc,r,b,b,1578.0,100.0,235.0,Ah,Ac
14,Bowler,986102443.0,9.0,1.0,BcA,-,-,-,15.0,15.0,0.0,8c,8d
14,JohnSpot,986102443.0,9.0,7.0,rr,bc,kc,kc,1215.0,100.0,0.0,Ks,Kh
14,RIG,986102443.0,9.0,8.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
14,RobVegas,986102443.0,9.0,5.0,f,-,-,-,2633.0,0.0,0.0,XX,XX
12,Tampa,986102443.0,9.0,2.0,Bf,-,-,-,460,10,0,XX,XX
2,amajama,986102443.0,9.0,4.0,cf,-,-,-,1070,10,0,XX,XX
14,flubnurd2,986102443.0,9.0,6.0,f,-,-,-,11012,0,0,XX,XX
