,player,timestamp,play,pos,prflop,flop,turn,river,bankroll,action,winnings,c1,c2
1,AJ-sOOted,986101403.0,8.0,6.0,rc,c,f,-,1703.0,40.0,0.0,XX,XX
1,Bowler,986101403.0,8.0,7.0,cc,c,c,c,170.0,80.0,0.0,Jd,Tc
1,JohnSpot,986101403.0,8.0,3.0,f,-,-,-,1175.0,0.0,0.0,XX,XX
1,Murph,986101403.0,8.0,8.0,f,-,-,-,3607.0,0.0,0.0,XX,XX
1,RIG,986101403.0,8.0,4.0,cc,b,b,b,765.0,80.0,310.0,Js,Qh
1,RobVegas,986101403.0,8.0,1.0,Bcc,kf,-,-,2813.0,30.0,0.0,XX,XX
1,SixPack,986101403.0,8.0,5.0,f,-,-,-,1022.0,0.0,0.0,XX,XX
1,flubnurd2,986101403.0,8.0,2.0,Br,kc,kc,kc,10832.0,80.0,0.0,Kd,Qd
7,AJ-sOOted,986101805.0,8.0,8.0,r,r,r,r,1393.0,130.0,400.0,Th,Kc
7,Bowler,986101805.0,8.0,1.0,Bc,bc,bc,bc,425.0,130.0,0.0,Qh,Ks
7,JohnSpot,986101805.0,8.0,5.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
7,RIG,986101805.0,8.0,6.0,cc,f,-,-,960.0,30.0,0.0,XX,XX
7,RobVegas,986101805.0,8.0,3.0,f,-,-,-,2723.0,0.0,0.0,XX,XX
7,SixPack,986101805.0,8.0,7.0,cc,cc,f,-,962.0,50.0,0.0,XX,XX
5,Tampa,986101805.0,8.0,2.0,Bf,-,-,-,525.0,10.0,0.0,XX,XX
7,flubnurd2,986101805.0,8.0,4.0,rc,cc,f,-,11117.0,50.0,0.0,XX,XX
8,AJ-sOOted,986101901.0,8.0,7.0,c,cf,-,-,1663.0,30.0,0.0,XX,XX
8,Bowler,986101901.0,8.0,8.0,c,rc,c,c,295.0,90.0,0.0,Qc,As
8,JohnSpot,986101901.0,8.0,4.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
8,RIG,986101901.0,8.0,5.0,r,br,b,b,930.0,90.0,260.0,Ah,Ks
8,RobVegas,986101901.0,8.0,2.0,Bf,-,-,-,2723.0,10.0,0.0,XX,XX
8,SixPack,986101901.0,8.0,6.0,c,f,-,-,912.0,20.0,0.0,XX,XX
6,Tampa,986101901.0,8.0,1.0,Bc,kf,-,-,515.0,20.0,0.0,XX,XX
8,flubnurd2,986101901.0,8.0,3.0,f,-,-,-,11067.0,0.0,0.0,XX,XX
9,AJ-sOOted,986102031.0,8.0,6.0,r,b,bc,kc,1633.0,100.0,0.0,Kh,Kd
9,Bowler,986102031.0,8.0,7.0,c,c,r,b,205.0,100.0,0.0,5s,6d
9,JohnSpot,986102031.0,8.0,3.0,f,-,-,-,1160.0,0.0,0.0,XX,XX
9,RIG,986102031.0,8.0,4.0,f,-,-,-,1100.0,0.0,0.0,XX,XX
9,RobVegas,986102031.0,8.0,1.0,Bc,kf,-,-,2713.0,30.0,0.0,XX,XX
9,SixPack,986102031.0,8.0,5.0,rc,kc,kc,kc,892.0,100.0,340.0,Qh,Ah
7,Tampa,986102031.0,8.0,8.0,f,-,-,-,495.0,0.0,0.0,XX,XX
9,flubnurd2,986102031.0,8.0,2.0,Bf,-,-,-,11067.0,10.0,0.0,XX,XX
15,AJ-sOOted,986102505.0,8.0,8.0,f,-,-,-,1713.0,0.0,0.0,XX,XX
15,JohnSpot,986102505.0,8.0,6.0,f,-,-,-,1115.0,0.0,0.0,XX,XX
15,RIG,986102505.0,8.0,7.0,c,k,f,-,1160.0,10.0,0.0,XX,XX
15,RobVegas,986102505.0,8.0,4.0,f,-,-,-,2633.0,0.0,0.0,XX,XX
13,Tampa,986102505.0,8.0,1.0,Bc,k,br,b,450.0,90.0,200.0,Kd,Jd
