,player,timestamp,play,pos,prflop,flop,turn,river,bankroll,action,winnings,c1,c2
78,AJ-sOOted,986106593.0,5.0,4.0,rc,kf,-,-,118.0,30.0,0.0,XX,XX
62,RiverBoy,986106593.0,5.0,3.0,cf,-,-,-,3492.0,10.0,0.0,XX,XX
67,RobVegas,986106593.0,5.0,1.0,Bf,-,-,-,3061.0,5.0,0.0,XX,XX
4,hannibal,986106593.0,5.0,5.0,r,b,-,-,737.0,40.0,95.0,XX,XX
60,pokibot,986106593.0,5.0,2.0,Bf,-,-,-,15959.0,10.0,0.0,XX,XX
79,AJ-sOOted,986106623.0,5.0,3.0,rr,b,bcA,-,88.0,88.0,0.0,8h,5s
63,RiverBoy,986106623.0,5.0,2.0,Bf,-,-,-,3482.0,10.0,0.0,XX,XX
68,RobVegas,986106623.0,5.0,5.0,f,-,-,-,3056.0,0.0,0.0,XX,XX
5,hannibal,986106623.0,5.0,4.0,rc,c,r,-,792.0,90.0,193.0,3s,Jh
61,pokibot,986106623.0,5.0,1.0,Bf,-,-,-,15949.0,5.0,0.0,XX,XX
66,RiverBoy,986106700.0,5.0,4.0,f,-,-,-,3467.0,0.0,0.0,XX,XX
71,RobVegas,986106700.0,5.0,1.0,Bf,-,-,-,3081.0,5.0,0.0,XX,XX
36,SexyBoy,986106700.0,5.0,2.0,Bf,-,-,-,2048.0,10.0,0.0,XX,XX
8,hannibal,986106700.0,5.0,5.0,r,c,r,rf,875.0,120.0,0.0,XX,XX
64,pokibot,986106700.0,5.0,3.0,rc,b,bc,br,15944.0,140.0,275.0,XX,XX
67,RiverBoy,986106733.0,5.0,3.0,cc,b,b,k,3457.0,50.0,140.0,7c,8c
72,RobVegas,986106733.0,5.0,5.0,f,-,-,-,3076.0,0.0,0.0,XX,XX
37,SexyBoy,986106733.0,5.0,1.0,Bc,kc,kc,k,2038.0,50.0,0.0,7h,Qh
9,hannibal,986106733.0,5.0,4.0,r,c,f,-,755.0,30.0,0.0,XX,XX
65,pokibot,986106733.0,5.0,2.0,Bf,-,-,-,16079.0,10.0,0.0,XX,XX
68,RiverBoy,986106804.0,5.0,2.0,Bf,-,-,-,3547.0,10.0,0.0,XX,XX
73,RobVegas,986106804.0,5.0,4.0,f,-,-,-,3076.0,0.0,0.0,XX,XX
38,SexyBoy,986106804.0,5.0,5.0,f,-,-,-,1988.0,0.0,0.0,XX,XX
10,hannibal,986106804.0,5.0,3.0,r,-,-,-,725.0,20.0,35.0,XX,XX
66,pokibot,986106804.0,5.0,1.0,Bf,-,-,-,16069.0,5.0,0.0,XX,XX
69,RiverBoy,986106819.0,5.0,1.0,BQ,-,-,-,3925.0,5.0,0.0,XX,XX
74,RobVegas,986106819.0,5.0,3.0,c,bf,-,-,3076.0,20.0,0.0,XX,XX
39,SexyBoy,986106819.0,5.0,4.0,c,cc,c,c,1988.0,70.0,0.0,7s,5s
11,hannibal,986106819.0,5.0,2.0,Bk,kr,b,b,740.0,70.0,165.0,Qd,5h
67,pokibot,986106819.0,5.0,5.0,f,-,-,-,16064.0,0.0,0.0,XX,XX
82,AJ-sOOted,986107607.0,5.0,2.0,r,k,b,b,1085.0,60.0,130.0,XX,XX
0,Johnny,986107607.0,5.0,5.0,c,k,f,-,795.0,20.0,0.0,XX,XX
0,QueenB,986107607.0,5.0,4.0,c,k,c,f,2144.0,40.0,0.0,XX,XX
104,RobVegas,986107607.0,5.0,1.0,Bf,-,-,-,3631.0,10.0,0.0,XX,XX
98,pokibot,986107607.0,5.0,3.0,f,-,-,-,15479.0,0.0,0.0,XX,XX
10,Johnny,986108258.0,5.0,3.0,c,k,k,f,605.0,10.0,0.0,XX,XX
114,RobVegas,986108258.0,5.0,1.0,Bf,-,-,-,3693.0,5.0,0.0,XX,XX
50,SexyBoy,986108258.0,5.0,5.0,f,-,-,-,2313.0,0.0,0.0,XX,XX
7,link1,986108258.0,5.0,4.0,c,k,k,c,1390.0,30.0,75.0,6d,8d
108,pokibot,986108258.0,5.0,2.0,Bk,k,k,b,15549.0,30.0,0.0,9h,2h
11,Johnny,986108295.0,5.0,2.0,Bk,k,bc,kc,595.0,70.0,0.0,9s,6s
115,RobVegas,986108295.0,5.0,5.0,c,k,r,b,3688.0,70.0,155.0,Th,2h
51,SexyBoy,986108295.0,5.0,4.0,f,-,-,-,2313.0,0.0,0.0,XX,XX
8,link1,986108295.0,5.0,3.0,c,k,f,-,1435.0,10.0,0.0,XX,XX
109,pokibot,986108295.0,5.0,1.0,Bf,-,-,-,15519.0,5.0,0.0,XX,XX
12,Johnny,986108357.0,5.0,1.0,Bc,kc,kc,kc,525.0,60.0,0.0,4d,Kc
116,RobVegas,986108357.0,5.0,4.0,f,-,-,-,3773.0,0.0,0.0,XX,XX
52,SexyBoy,986108357.0,5.0,3.0,f,-,-,-,2313.0,0.0,0.0,XX,XX
9,link1,986108357.0,5.0,2.0,Bk,b,b,b,1425.0,60.0,120.0,Jc,8s
110,pokibot,986108357.0,5.0,5.0,f,-,-,-,15514.0,0.0,0.0,XX,XX
13,Johnny,986108400.0,5.0,5.0,c,r,r,bc,465.0,110.0,115.0,6d,7h
117,RobVegas,986108400.0,5.0,3.0,f,-,-,-,3773.0,0.0,0.0,XX,XX
